douban_film_id,title,page_number,rank_within_list
1294625,春风秋雨 Imitation of Life,6,136
1291561,千与千寻 千と千尋の神隠し,6,137
1439723,电影史-1A 所有的历史 Histoire(s) du cinéma: Toutes les histoires,6,138
1299733,侠骨柔情 My Darling Clementine,6,139
1300267,乱世佳人 Gone with the Wind,6,140
1299231,女友礼拜五 His Girl Friday,6,141
1296669,"罗马，不设防的城市 Roma, città aperta",6,142
1418141,塞琳和朱莉出航记 Céline et Julie vont en bateau,6,143
1299775,马太福音 Il vangelo secondo Matteo,6,144
1296500,雏菊 Sedmikrásky,6,145
1296791,"诺斯费拉图 Nosferatu, eine Symphonie des Grauens",6,146
1292224,飞越疯人院 One Flew Over the Cuckoo's Nest,6,147
1301646,瑟堡的雨伞 Les parapluies de Cherbourg,6,148
1303494,杀羊人 Killer of Sheep,6,149
1296908,窃听大阴谋 The Conversation,6,150
1855338,旺达 Wanda,7,151
1293838,星球大战 Star Wars,7,152
1945780,血色将至 There Will Be Blood,7,153
1401118,"黄金三镖客 Il buono, il brutto, il cattivo",7,154
1298962,一条安达鲁狗 Un chien andalou,7,155
1303536,钱 L'argent,7,156
1293232,天堂之日 Days of Heaven,7,157
1294746,天堂里的烦恼 Trouble in Paradise,7,158
1291999,重庆森林 重慶森林,7,159
1296147,呼喊与细语 Viskningar och rop,7,160
1291560,龙猫 となりのトトロ,7,161
1294300,曼哈顿 Manhattan,7,162
1293226,双重赔偿 Double Indemnity,7,163
1414808,热带疾病 สัตว์ประหลาด,7,164
1297422,穷山恶水 Badlands,7,165
1297546,过客 Professione: reporter,7,166
1293667,黄金时代 L'âge d'or,7,167
1292403,猎鹿人 The Deer Hunter,7,168
1301252,十诫 Dekalog,7,169
1300392,德州电锯杀人狂 The Texas Chain Saw Massacre,7,170
1300712,天使之翼 Only Angels Have Wings,7,171
1293852,罗斯玛丽的婴儿 Rosemary's Baby,7,172
1298134,关山飞渡 Stagecoach,7,173
1424576,土狼之旅 Touki Bouki,7,174
1298113,鸭羹 Duck Soup,7,175
1303364,资产阶级的审慎魅力 Le Charme discret de la bourgeoisie,8,176
1294364,相见恨晚 Brief Encounter,8,177
1296196,乱,8,178
1310175,群鸟 The Birds,8,179
1303542,石榴的颜色 Նռան գույնը,8,180
1474748,土地 Земля,8,181
30257175,燃烧女子的肖像 Portrait de la jeune fille en feu,8,182
1303575,荒漠怪客 Johnny Guitar,8,183
1416677,大河 The River,8,184
1302413,穆谢特 Mouchette,8,185
1422308,午夜钟声 Campanadas a medianoche,8,186
1302338,漩涡之外 Out of the Past,8,187
1401756,拿破仑 Napoléon,8,188
1361252,夜 La notte,8,189
1300749,吸血鬼 Vampyr,8,190
1294781,卡比利亚之夜 Le notti di Cabiria,8,191
1303558,洛可兄弟 Rocco e i suoi fratelli,8,192
2336735,生命之树 The Tree of Life,8,193
1292733,黑水仙 Black Narcissus,8,194
1323746,小城之春,8,195
1302061,"德州巴黎 Paris, Texas",8,196
1299257,战火 Paisà,8,197
1303415,淑女伊芙 The Lady Eve,8,198
1301279,拾穗者 Les glaneurs et la glaneuse,8,199
1296717,夺宝奇兵 Raiders of the Lost Ark,8,200
1293691,索多玛120天 Salò o le 120 giornate di Sodoma,9,201
1294194,悲情城市,9,202
1292521,码头风云 On the Waterfront,9,203
1298405,第三类接触 Close Encounters of the Third Kind,9,204
1298593,金刚 King Kong,9,205
1307639,最卑贱的人 Der letzte Mann,9,206
1292445,天涯沦落女 Sans toit ni loi,9,207
1902009,家乡的消息 News from Home,9,208
1300912,魂断威尼斯 Morte a Venezia,9,209
1295646,大独裁者 The Great Dictator,9,210
1296794,怪形 The Thing,9,211
1299816,百战将军 The Life and Death of Colonel Blimp,9,212
1292504,柏林苍穹下 Der Himmel über Berlin,9,213
1300977,飞向太空 Солярис,9,214
1296621,波长 Wavelength,9,215
26648249,月光男孩 Moonlight,9,216
1292468,破浪 Breaking the Waves,9,217
1293564,木兰花 Magnolia,9,218
1294518,操行零分 Zéro de conduite: Jeunes diables au collège,9,219
1300966,独行杀手 Le samouraï,9,220
1295757,蓬门今始为君开 The Quiet Man,9,221
1297920,小孩与鹰 Kes,9,222
1292465,愤怒的葡萄 The Grapes of Wrath,9,223
1296097,风烛泪 Umberto D.,9,224
1293823,妙想天开 Brazil,9,225
1303603,西鹤一代女 西鶴一代女,10,226
1301897,何处是我朋友的家 خانه دوست کجاست؟‎,10,227
1303416,苏利文的旅行 Sullivan's Travels,10,228
1303532,爱的激流 Love Streams,10,229
1295759,流浪艺人 Ο Θίασος,10,230
1418426,黑上帝白魔鬼 Deus E o Diabo na Terra do Sol,10,231
1293153,德意志零年 Germania anno zero,10,232
1499492,房屋是黑的 خانه سیاه است,10,233
1303174,灰烬与钻石 Popiół i diament,10,234
27010768,寄生虫 기생충,10,235
1299261,红色沙漠 Il deserto rosso,10,236
1293950,花村 McCabe & Mrs. Miller,10,237
1291843,黑客帝国 The Matrix,10,238
1294100,黄金时代 The Best Years of Our Lives,10,239
1294433,秋刀鱼之味 秋刀魚の味,10,240
1293273,群众 The Crowd,10,241
1474367,伊凡雷帝2 Иван Грозный 2: Боярский заговор,10,242
1484154,低度开发的回忆 Memorias del subdesarrollo,10,243
1294331,迷幻演出 Performance,10,244
1438066,隐藏摄像机 Caché,10,245
1293925,橡皮头 Eraserhead,10,246
1298182,伊凡雷帝 Иван Грозный,10,247
1302923,兰闺艳血 In a Lonely Place,10,248
1850003,篷车队 The Band Wagon,10,249
1300044,谋杀绿脚趾 The Big Lebowski,10,250
1295124,辛德勒的名单 Schindler's List,11,251
1292781,细细的红线 The Thin Red Line,11,252
1295445,火树银花 Meet Me in St. Louis,11,253
1308777,暖暖内含光 Eternal Sunshine of the Spotless Mind,11,254
1401618,乡村牧师日记 Journal d'un curé de campagne,11,255
1291828,天堂电影院 Nuovo Cinema Paradiso,11,256
1294039,绿光 Le rayon vert,11,257
1890283,大地的女儿 Daughters of the Dust,11,258
1485059,刽子手 El Verdugo,11,259
1292271,毕业生 The Graduate,11,260
1296577,禁忌 Tabu: A Story of the South Seas,11,261
1301649,白日美人 Belle de jour,11,262
1292547,卡里加里博士的小屋 Das Cabinet des Dr. Caligari,11,263
1300275,大开眼戒 Eyes Wide Shut,11,264
1292565,红河 Red River,11,265
1292048,蓝白红三部曲之蓝 Trois couleurs: Bleu,11,266
4280102,能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ,11,267
1295686,盗火线 Heat,11,268
1298270,夜与雾 Nuit et brouillard,11,269
1293755,驱魔人 The Exorcist,11,270
1292067,冰血暴 Fargo,11,271
2060678,黑女孩 La Noire de...,11,272
1292516,碧血金沙 The Treasure of the Sierra Madre,11,273
1440610,赝品 Vérités et mensonges,11,274
1295995,仁心与冠冕 Kind Hearts and Coronets,11,275
1296177,樱桃的滋味 طعم گیلاس,12,276
1296283,慕德家一夜 Ma nuit chez Maud,12,277
